NM_MUN,delta_other_crops,suit_soybean,suit_sugarcane,underused_soybean,underused_sugarcane,zone,opportunity
Crixás,-0.0917801762406806,0.3961094958407219,0.33694240509545903,0.5364070956693407,0.4124885321962862,4.612220886634313,0.21247594423096844
Mossâmedes,-0.06146423373801402,0.6185014951371465,0.7189382275840525,0.6379702656166337,0.7374108622861831,3.2744332794103856,0.39458556313693044
Vila Boa,-0.01516125584360052,0.47277735211576155,0.48099291451464904,0.4958331337600545,0.5115554047502765,3.339026454557441,0.23441867607033878
Mozarlândia,-0.12186164219444869,0.49545663462514855,0.38745165927408776,0.657665034590243,0.4620893975938237,5.256215531400009,0.3258445047487137
Vianópolis,-0.009365023192577308,0.6450177338939973,0.7287681991718756,0.22990045782650517,0.7545937932987422,0.20374379909432414,0.14828987232844487
Morrinhos,-0.03749622666397536,0.6536559110080089,0.7360880656642166,0.5208751756991779,0.7222067278199625,6.589376867543847,0.3404731374931028
Montividiu do Norte,-0.07353945016049133,0.4176767099893516,0.388924009476619,0.5179733594574281,0.491340448244743,4.232741297034458,0.21634540864031035
Vicentinópolis,-0.06831781809264988,0.8330169749688631,0.8405964208870164,0.3626003333257344,0.6354382752166231,8.847747581742054,0.30205223278970467
Córrego do Ouro,-0.04952464116831377,0.46368884208103694,0.5616585643063725,0.5160085585668276,0.6160419076058247,4.570234911854513,0.23926741102575722
Morro Agudo de Goiás,-0.0743098274616464,0.5423727492671492,0.6255192643349277,0.6349596367137661,0.7193902028659105,4.325759039676962,0.3443848038381156
Corumbá de Goiás,-0.009784113646530443,0.43402917178753475,0.5559167164023596,0.377788733696346,0.5890187214149569,0.07774581486356216,0.1639713311968866
Mundo Novo,-0.16736923022602254,0.4372845769438129,0.3400245893845494,0.5567942653040515,0.36871535148616585,5.752125505030055,0.24347754474822328
Vila Propício,-0.0233092459720698,0.5025110478358322,0.5277422071816935,0.4052570589684279,0.42406071685874674,2.332785435677771,0.20364614934509234
Mutunópolis,-0.11451612728246777,0.55124442064678,0.4964828048890353,0.7168761131755329,0.6477585171881742,4.366670966941634,0.39517395768296215
Uruaçu,-0.05764268625442649,0.41953599320556895,0.4590002415607097,0.34419386609063535,0.45465655435713076,4.0362715717441535,0.1444017154655993
Uirapuru,-0.1261883355675068,0.45899442424954123,0.35505497640166195,0.6361768978681708,0.4255184706281025,4.683963115052001,0.29200164895786024
Moiporá,-0.042248855944683514,0.3999607798589577,0.4854942687664694,0.44408063893651334,0.5495540005442425,5.089011061779796,0.1776148386693121
Uruana,-0.059592532030714136,0.7060400124388982,0.7565073763181427,0.7478103026477357,0.7592035033363077,6.65796664903513,0.5279839953833436
Monte Alegre de Goiás,-0.030568714136426752,0.31363079052462944,0.31837921326313773,0.33504679340828436,0.34110834022928666,6.451648354237948,0.10508099067938242
Turvânia,-0.0663294612062741,0.8151036211549494,0.8594888822793373,0.5803897264071234,0.8665691826107166,6.281982477079546,0.47307776767557663
Corumbaíba,-0.016087412887428074,0.5085526340415729,0.6184080533125313,0.48687867861612677,0.6404999180242082,2.007251045656967,0.2476034344689117
Trombas,-0.06480068482014249,0.40175326010741824,0.3696057457385252,0.4804459892224288,0.4408415583710338,4.110468776238932,0.1930207424756443
Turvelândia,-0.0757816998978334,0.8324134746304819,0.8353200153540384,0.3172055049305248,0.6831739860545141,8.655667439590706,0.26404613653113457
Caturaí,-0.046817930042491664,0.699529041187725,0.7959171817400567,0.7129291153871143,0.7934706411383121,3.4556109148648293,0.498714620521561
Cavalcante,-0.0058658045283478,0.08166414476253561,0.08890739798632542,0.088423582531755,0.09853937316694492,3.92618891272975,0.007221036244295256
Valparaíso de Goiás,-0.0007215623188981827,0.08334592062562317,0.08693966430223764,0.08767509557577276,0.09062027346451723,7.0,0.0073073615567022816
Catalão,-0.006396046691705016,0.5432301344865299,0.6207045363061894,0.2905032258769778,0.6393382389781652,1.451969466102729,0.15781010646192142
Montividiu,-0.04085376829276704,0.7966003951541678,0.840701395012375,0.08437202901911899,0.838302204518387,8.38840129064047,0.0672107916565891
Varjão,-0.03367259007069939,0.49621610960162443,0.5981996665206281,0.4831799464458497,0.6245692041133188,7.681248396750747,0.23976167326288078
Montes Claros de Goiás,-0.09071025671890667,0.456709205097294,0.36096089996743963,0.4813116098602207,0.37929398739408565,3.99547943650333,0.2198194427433603
